x	Y_20181208_15693_1_12g	Y_20181208_15693_10_14g	Y_20181208_15693_10_7g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_18_7g	Y_20181208_15693_19_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_9g	Y_20181208_15693_20_4g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_2g	Y_20181208_15693_5_4g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_7_9g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_11g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
2.6684	39077.2617	59497.3477	30565.998	40978.3828	32655.6602	27868.3828	28986.1914	NaN	57878.0156	28510.9141	NaN	31582.2148	NaN	37520.707	NaN	33643.2734	32390.1016	45763.25	40619.8477	NaN	NaN	39200.2891	NaN	34551.0312	32689.6895	35152.8125	NaN	NaN	NaN	40680.9297	34101.8867	NaN	33374.6016	NaN	47788.3477	NaN	34894.4297	29271.5977	37004.3711	NaN	34278.375	NaN	33291.0117	27802.6777	46538.8164	39243.2227	NaN	33699.1836	31498.7949	38591.6836	31479.2012	NaN	55673.9922	40229.0352	47899.5	NaN	NaN	NaN	NaN	34533.3672
2.8019	36533.875	45553.3828	NaN	37200.7578	31086	NaN	NaN	NaN	75947.3438	28191.002	NaN	30186.502	NaN	34343.4453	NaN	31664.5996	31235.3164	43726.7344	NaN	NaN	NaN	35651.0508	NaN	34034.4062	NaN	31789.7734	NaN	NaN	NaN	46376.7617	NaN	NaN	32729.5117	NaN	36601.6133	NaN	NaN	NaN	NaN	NaN	31789.1191	NaN	NaN	28015.7402	55358.3242	36094.7539	NaN	33126.7891	NaN	35399.3633	32480.0254	NaN	42693.4609	34280.1172	33801.6328	NaN	NaN	NaN	NaN	NaN
2.9353	35843.1758	35941.5391	NaN	NaN	NaN	NaN	NaN	NaN	66077.4531	NaN	NaN	30816.6191	NaN	NaN	NaN	31533.1738	30231.7773	NaN	NaN	NaN	NaN	35502.1406	NaN	33129.0859	NaN	30254.6836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31428.0996	NaN	NaN	NaN	NaN	NaN	31675.3066	NaN	NaN	NaN	NaN	34145.8438	NaN	32419.7285	NaN	32844.2656	NaN	NaN	35064.7188	NaN	29724.332	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	34661.3984	NaN	NaN	NaN	NaN	NaN	NaN	47356.2773	NaN	NaN	30722.2305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33541.2656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29737.2656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31428.8809	NaN	NaN	32151.7422	NaN	28445.3574	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	33808.1406	NaN	NaN	NaN	NaN	NaN	NaN	39695.1055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32976.543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29618.707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32727.9902	NaN	28052.8242	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	33085.5625	NaN	NaN	NaN	NaN	NaN	NaN	37154.6602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33867.7617	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34947.9766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
