x	Y_20181208_15694_1_6g	Y_20181208_15694_10_7g	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_2g	Y_20181208_15694_21_10g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_10g	Y_20181208_15694_23_3g	Y_20181208_15694_28_4g	Y_20181208_15694_30_4g	Y_20181208_15694_5_1g	Y_20181208_15694_6_13g	Y_20181208_15694_6_1g	Y_20181208_15694_6_2g	Y_20181208_15694_7_11g	Y_20181208_15694_8_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_3g	Y_20181208_15694_9_5g
2.6684	101718.6328	53198.5039	36704.6133	33564.9883	46558.1797	13666.8193	38145.7383	36940.2461	61741.7617	36387.9023	32046.9961	31130.5391	59763.6445	66864.4531	31321.7695	35068.332	89015.3984	40156.2266	41807.5039	44722.3008	26004.3633	37487.4102	29454.1816
2.8019	105790.5469	56784.1289	45275.0664	33623.4141	62189.7344	14383.7158	34771.7422	45872.043	82264.4609	48126.1445	33759.0742	33775.1719	48999.8711	96120.1641	36230.9102	45312.5703	82476	51817.8086	35030.1406	63302.6055	25059.0176	39694.793	30710.3438
2.9353	74587.4062	59460.3477	63127.0859	36550.2891	70194.75	13147.9932	28978.7363	71037.1719	77399.3984	67190.3125	37453.8789	34203.8555	38568.9062	97450.4062	52211.5703	50768.8789	56148.6719	65836.0312	35455.3086	70898.8125	25884.1387	50035.2578	30718.8047
3.0687	49656.0625	73287.0547	66661.3125	45114.7695	59819.6211	13804.9004	29267.9375	102174.9219	52198.3594	68114.6406	47111.4883	35857.9609	33106.6055	65902.7734	76073.0156	45695.125	39190.1836	60661.5703	31796.2207	58459.9492	27879.2637	62030.2656	35625.8789
3.2021	39389.3906	70076.9297	53397.5977	56565.5547	44543.8047	NaN	28273.9004	91970.7969	39755.2734	48793.4805	67141.1797	44259.2891	30859.9121	46423.9727	79746.8281	37494.6367	31635.5742	43527.8281	30893.4199	43180.1875	28116.541	56415.0938	44254.125
3.3355	36990.6953	54831.0859	39636.4805	65199.7578	36639.293	NaN	NaN	57992.4062	32722.7578	34854.918	83819.1328	49622.1914	30154.6855	41280.2266	60902.582	35298.5547	27879.2832	34123.4492	NaN	35458.6523	31348.4453	44918.8828	52195.5234
3.469	36272.0898	NaN	33430.1562	66711.8672	35180.4297	NaN	NaN	39284.0234	29436.2129	31134.5605	71459.4609	44045.7617	30045.1875	37596.7383	42398.875	31359.4277	27125.4414	30538.4648	NaN	33389.3633	41199.5547	42315.0664	44994.0977
3.6024	NaN	NaN	36511.25	56143.1914	33553.1758	NaN	NaN	33772.5703	27495.0293	28598.5625	49093.3438	37409.1797	NaN	40998.7773	32947.9688	29830.8828	26733.8281	28691.459	NaN	31771.1973	65759.3906	42080.3984	35269.418
3.7358	NaN	NaN	NaN	44242.7578	31109.9609	NaN	NaN	31819.0078	NaN	27997.7559	36747.8281	33388.1562	NaN	NaN	29681.6758	29964.7344	NaN	28534.9629	NaN	NaN	87135.7266	NaN	32243.873
3.8692	NaN	NaN	NaN	34519.3398	31304.8418	NaN	NaN	30913.8672	NaN	26415.1504	34423.4766	33249.6758	NaN	NaN	28641.3477	NaN	NaN	28209.9883	NaN	NaN	82693.6562	NaN	32206.3203
4.0027	NaN	NaN	NaN	34125.8633	NaN	NaN	NaN	NaN	NaN	NaN	32431.1914	32706.0039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57949.0859	NaN	32608.8789
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30807.5215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36541.8242	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30582.6855	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30302.1094	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
